date,max_temp,min_temp,avg_temp
2026-01-20,22.6,9.0,15.8
2026-01-21,21.7,8.3,15.0
2026-01-22,24.3,7.9,16.1
2026-01-23,16.9,11.1,14.0
2026-01-24,16.5,7.3,11.9
2026-01-25,16.6,6.4,11.5
2026-01-26,18.6,5.6,12.100000000000001
2026-01-27,17.5,11.4,14.45
